Week,VaxIR,UnvacxIR
14,13.08491179,219.4598038
15,12.98327975,240.5443829
16,11.84604515,216.4431073
17,11.02191837,193.2570638
18,9.018212825,171.9286428
19,8.224478462,160.7171681
20,7.061994518,126.7727992
21,5.639173613,104.3805927
22,5.107399955,84.14921013
23,4.887559485,77.19704493
24,5.352491453,77.58378958
25,6.559866159,78.92235117
26,8.520545027,100.8877621
27,13.43782308,143.9578607
28,24.02991439,227.6374933
29,44.07683823,366.9814907
30,68.6552315,549.5886906
31,89.9121076,713.4655326
32,102.8089378,845.4858917
33,111.302832,911.7060867
34,113.1747599,941.22378
35,109.4327424,880.6385228
36,105.2334034,803.8433941
37,103.8739418,739.260068
38,91.23759948,621.8382653
39,90.11161176,589.0397413
