month,bidding_no,vehicle_class,premium
2010-01,1,Category A,18502
2010-01,1,Category B,19190
2010-01,2,Category A,20501
2010-01,2,Category B,22400
2010-01,3,Category A,18502
2010-01,3,Category B,19190
2010-01,4,Category A,20501
2010-01,4,Category B,22400
2010-01,5,Category A,18502
2010-01,5,Category B,19190
2010-02,1,Category A,19989
2010-02,1,Category B,23180
2010-02,2,Category A,20340
2010-02,2,Category B,23889
2010-02,3,Category A,19989
2010-02,3,Category B,23180
2010-02,4,Category A,20340
2010-02,4,Category B,23889
2010-02,5,Category A,19989
2010-02,5,Category B,23180
2010-03,1,Category A,20802
2010-03,1,Category B,26389
2010-03,2,Category A,28389
2010-03,2,Category B,36089
2010-03,3,Category A,20802
2010-03,3,Category B,26389
2010-03,4,Category A,28389
2010-03,4,Category B,36089
2010-03,5,Category A,20802
2010-03,5,Category B,26389
2010-04,1,Category A,34001
2010-04,1,Category B,45501
2010-04,2,Category A,30000
2010-04,2,Category B,40001
2010-04,3,Category A,34001
2010-04,3,Category B,45501
2010-04,4,Category A,30000
2010-04,4,Category B,40001
2010-04,5,Category A,34001
2010-04,5,Category B,45501
2010-05,1,Category A,26102
2010-05,1,Category B,38000
2010-05,2,Category A,27389
2010-05,2,Category B,34600
2010-05,3,Category A,26102
2010-05,3,Category B,38000
2010-05,4,Category A,27389
2010-05,4,Category B,34600
2010-05,5,Category A,26102
2010-05,5,Category B,38000
2010-06,1,Category A,29501
2010-06,1,Category B,35909
2010-06,2,Category A,31510
2010-06,2,Category B,39911
2010-06,3,Category A,29501
2010-06,3,Category B,35909
2010-06,4,Category A,31510
2010-06,4,Category B,39911
2010-06,5,Category A,29501
2010-06,5,Category B,35909
2010-07,1,Category A,29501
2010-07,1,Category B,35909
2010-07,2,Category A,36162
2010-07,2,Category B,42889
2010-07,3,Category A,29501
2010-07,3,Category B,35909
2010-07,4,Category A,36162
2010-07,4,Category B,42889
2010-07,5,Category A,29501
2010-07,5,Category B,35909
2010-08,1,Category A,32104
2010-08,1,Category B,43334
2010-08,2,Category A,29000
2010-08,2,Category B,42810
2010-08,3,Category A,32104
2010-08,3,Category B,43334
2010-08,4,Category A,29000
2010-08,4,Category B,42810
2010-08,5,Category A,32104
2010-08,5,Category B,43334
2010-09,1,Category A,33089
2010-09,1,Category B,44129
2010-09,2,Category A,30001
2010-09,2,Category B,42501
2010-09,3,Category A,33089
2010-09,3,Category B,44129
2010-09,4,Category A,30001
2010-09,4,Category B,42501
2010-09,5,Category A,33089
2010-09,5,Category B,44129
2010-10,1,Category A,33132
2010-10,1,Category B,42801
2010-10,2,Category A,32415
2010-10,2,Category B,44600
2010-10,3,Category A,33132
2010-10,3,Category B,42801
2010-10,4,Category A,32415
2010-10,4,Category B,44600
2010-10,5,Category A,33132
2010-10,5,Category B,42801
2010-11,1,Category A,34001
2010-11,1,Category B,45501
2010-11,2,Category A,39000
2010-11,2,Category B,47890
2010-11,3,Category A,34001
2010-11,3,Category B,45501
2010-11,4,Category A,39000
2010-11,4,Category B,47890
2010-11,5,Category A,34001
2010-11,5,Category B,45501
2010-12,1,Category A,47604
2010-12,1,Category B,62502
2010-12,2,Category A,46129
2010-12,2,Category B,72001
2010-12,3,Category A,47604
2010-12,3,Category B,62502
2010-12,4,Category A,46129
2010-12,4,Category B,72001
2010-12,5,Category A,47604
2010-12,5,Category B,62502
2011-01,1,Category A,38889
2011-01,1,Category B,69000
2011-01,2,Category A,40123
2011-01,2,Category B,58910
2011-01,3,Category A,38889
2011-01,3,Category B,69000
2011-01,4,Category A,40123
2011-01,4,Category B,58910
2011-01,5,Category A,38889
2011-01,5,Category B,69000
2011-02,1,Category A,37124
2011-02,1,Category B,53400
2011-02,2,Category A,42999
2011-02,2,Category B,62000
2011-02,3,Category A,37124
2011-02,3,Category B,53400
2011-02,4,Category A,42999
2011-02,4,Category B,62000
2011-02,5,Category A,37124
2011-02,5,Category B,53400
2011-03,1,Category A,42600
2011-03,1,Category B,61894
2011-03,2,Category A,43813
2011-03,2,Category B,57002
2011-03,3,Category A,42600
2011-03,3,Category B,61894
2011-03,4,Category A,43813
2011-03,4,Category B,57002
2011-03,5,Category A,42600
2011-03,5,Category B,61894
2011-04,1,Category A,43212
2011-04,1,Category B,55001
2011-04,2,Category A,44000
2011-04,2,Category B,56801
2011-04,3,Category A,43212
2011-04,3,Category B,55001
2011-04,4,Category A,44000
2011-04,4,Category B,56801
2011-04,5,Category A,43212
2011-04,5,Category B,55001
2011-05,1,Category A,44790
2011-05,1,Category B,56011
2011-05,2,Category A,46989
2011-05,2,Category B,56300
2011-05,3,Category A,44790
2011-05,3,Category B,56011
2011-05,4,Category A,46989
2011-05,4,Category B,56300
2011-05,5,Category A,44790
2011-05,5,Category B,56011
2011-06,1,Category A,53390
2011-06,1,Category B,63000
2011-06,2,Category A,50244
2011-06,2,Category B,67700
2011-06,3,Category A,53390
2011-06,3,Category B,63000
2011-06,4,Category A,50244
2011-06,4,Category B,67700
2011-06,5,Category A,53390
2011-06,5,Category B,63000
2011-07,1,Category A,55989
2011-07,1,Category B,68501
2011-07,2,Category A,56002
2011-07,2,Category B,72501
2011-07,3,Category A,55989
2011-07,3,Category B,68501
2011-07,4,Category A,56002
2011-07,4,Category B,72501
2011-07,5,Category A,55989
2011-07,5,Category B,68501
2011-08,1,Category A,48801
2011-08,1,Category B,70890
2011-08,2,Category A,49301
2011-08,2,Category B,65521
2011-08,3,Category A,48801
2011-08,3,Category B,70890
2011-08,4,Category A,49301
2011-08,4,Category B,65521
2011-08,5,Category A,48801
2011-08,5,Category B,70890
2011-09,1,Category A,51000
2011-09,1,Category B,63002
2011-09,2,Category A,48006
2011-09,2,Category B,64889
2011-09,3,Category A,51000
2011-09,3,Category B,63002
2011-09,4,Category A,48006
2011-09,4,Category B,64889
2011-09,5,Category A,51000
2011-09,5,Category B,63002
2011-10,1,Category A,50289
2011-10,1,Category B,63600
2011-10,2,Category A,56112
2011-10,2,Category B,75889
2011-10,3,Category A,50289
2011-10,3,Category B,63600
2011-10,4,Category A,56112
2011-10,4,Category B,75889
2011-10,5,Category A,50289
2011-10,5,Category B,63600
2011-11,1,Category A,55997
2011-11,1,Category B,77000
2011-11,2,Category A,54887
2011-11,2,Category B,77340
2011-11,3,Category A,55997
2011-11,3,Category B,77000
2011-11,4,Category A,54887
2011-11,4,Category B,77340
2011-11,5,Category A,55997
2011-11,5,Category B,77000
2011-12,1,Category A,52392
2011-12,1,Category B,72350
2011-12,2,Category A,50001
2011-12,2,Category B,70003
2011-12,3,Category A,52392
2011-12,3,Category B,72350
2011-12,4,Category A,50001
2011-12,4,Category B,70003
2011-12,5,Category A,52392
2011-12,5,Category B,72350
2012-01,1,Category A,46889
2012-01,1,Category B,65801
2012-01,2,Category A,48112
2012-01,2,Category B,67889
2012-01,3,Category A,46889
2012-01,3,Category B,65801
2012-01,4,Category A,48112
2012-01,4,Category B,67889
2012-01,5,Category A,46889
2012-01,5,Category B,65801
2012-02,1,Category A,52809
2012-02,1,Category B,73890
2012-02,2,Category A,57009
2012-02,2,Category B,78189
2012-02,3,Category A,52809
2012-02,3,Category B,73890
2012-02,4,Category A,57009
2012-02,4,Category B,78189
2012-02,5,Category A,52809
2012-02,5,Category B,73890
