Week,VaxIR,UnvacxIR
14,29.60357639,275.9325636
15,28.39392692,283.7000657
16,26.84869253,242.7418168
17,22.82609383,219.2765031
18,16.58032686,185.4565906
19,11.68533492,160.0273653
20,9.802663635,123.6467482
21,7.43175541,94.67551281
22,6.230399491,77.73061632
23,5.916544243,68.66498525
24,6.160183437,69.21812425
25,8.246320486,74.21477702
26,12.77977237,102.3480762
27,19.63482657,151.5852616
28,36.33605904,249.866753
29,61.5852904,408.1123749
30,93.4062353,596.2816693
31,117.7368122,733.7435018
32,133.8429922,832.0067518
33,144.7795779,874.2951531
34,152.9123229,908.0711789
35,141.1773604,824.4113751
36,134.6701916,760.1311818
37,126.4964019,662.7109202
38,112.1871394,545.0424989
39,107.9782366,474.5000462
