week,agegroup,state,value
23,65-79,unvaccinated,6.110880256
23,80+,unvaccinated,9.441520808
24,18-29,unvaccinated,0.085959873
24,30-49,unvaccinated,0.290757233
24,50-64,unvaccinated,1.82791846
24,65-79,unvaccinated,7.237856705
24,80+,unvaccinated,12.64931988
25,18-29,unvaccinated,0.0609529
25,30-49,unvaccinated,0.432442881
25,50-64,unvaccinated,2.043345555
25,65-79,unvaccinated,7.744041784
25,80+,unvaccinated,11.23575307
26,18-29,unvaccinated,0.105809581
26,30-49,unvaccinated,0.543259852
26,50-64,unvaccinated,2.504504425
26,65-79,unvaccinated,8.723814924
26,80+,unvaccinated,14.86138586
27,18-29,unvaccinated,0.187123698
27,30-49,unvaccinated,1.001215843
27,50-64,unvaccinated,4.479878017
27,65-79,unvaccinated,13.1083695
27,80+,unvaccinated,18.79393996
28,18-29,unvaccinated,0.216420548
28,30-49,unvaccinated,1.572671094
28,50-64,unvaccinated,6.313487249
28,65-79,unvaccinated,21.818386
28,80+,unvaccinated,29.33368399
29,18-29,unvaccinated,0.484622605
29,30-49,unvaccinated,2.602742156
29,50-64,unvaccinated,10.03962418
29,65-79,unvaccinated,33.47936558
29,80+,unvaccinated,52.16798835
30,18-29,unvaccinated,0.606129103
30,30-49,unvaccinated,3.849970816
30,50-64,unvaccinated,15.6412197
30,65-79,unvaccinated,48.41269205
30,80+,unvaccinated,62.70706493
31,18-29,unvaccinated,0.764245975
31,30-49,unvaccinated,4.764851499
31,50-64,unvaccinated,20.05131095
31,65-79,unvaccinated,60.75673075
31,80+,unvaccinated,82.19222492
32,18-29,unvaccinated,0.724736825
32,30-49,unvaccinated,5.56654108
32,50-64,unvaccinated,23.15732678
32,65-79,unvaccinated,72.76232235
32,80+,unvaccinated,87.50750582
33,18-29,unvaccinated,0.752537179
33,30-49,unvaccinated,5.447380032
33,50-64,unvaccinated,22.48759616
33,65-79,unvaccinated,75.46373721
33,80+,unvaccinated,92.67895129
34,18-29,unvaccinated,0.616411272
34,30-49,unvaccinated,4.50592872
34,50-64,unvaccinated,20.37299938
34,65-79,unvaccinated,70.85618449
34,80+,unvaccinated,79.97891103
35,18-29,unvaccinated,0.630951317
35,30-49,unvaccinated,4.123964278
35,50-64,unvaccinated,18.11466019
35,65-79,unvaccinated,63.07253787
35,80+,unvaccinated,76.71046186
36,18-29,unvaccinated,0.513770219
36,30-49,unvaccinated,4.132229936
36,50-64,unvaccinated,16.88194915
36,65-79,unvaccinated,57.88029606
36,80+,unvaccinated,62.50477184
37,18-29,unvaccinated,0.58982609
