Week,VaxIR,UnvacxIR
14,0.25072593,3.938138008
15,0.24482651,3.807523128
16,0.203482925,3.930119505
17,0.156762484,3.652578873
18,0.199125674,3.126834538
19,0.0614333,2.659116146
20,0.093254371,2.168547062
21,0.121981556,2.079848567
22,0.12420083,1.774569002
23,0.0478508,1.630252597
24,0.070092153,1.82791846
25,0.099219516,2.043345555
26,0.089889485,2.504504425
27,0.147861243,4.479878017
28,0.204955322,6.313487249
29,0.384964674,10.03962418
30,0.583680046,15.6412197
31,0.772488702,20.05131095
32,0.909095235,23.15732678
33,0.951962693,22.48759616
34,0.741391673,20.37299938
35,0.630905291,18.11466019
36,0.789630815,16.88194915
37,0.673052507,13.04670632
38,0.478876553,12.20193736
39,0.394424812,8.358731726
